Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hex (24 bit),color
#cd5700,205,87,0,#cd5700,orange
#d0f0c0,208,240,192,#d0f0c0,green
#f4c2c2,244,194,194,#f4c2c2,pink
#008080,0,128,128,#008080,blue
#367588,54,117,136,#367588,blue
#006d5b,0,109,91,#006d5b,green
#e2725b,226,114,91,#e2725b,orange
#d8bfd8,216,191,216,#d8bfd8,purple
#de6fa1,222,111,161,#de6fa1,pink
#fc89ac,252,137,172,#fc89ac,pink
#0abab5,10,186,181,#0abab5,blue
#e08d3c,224,141,60,#e08d3c,orange
#dbd7d2,219,215,210,#dbd7d2,gray
#eee600,238,230,0,#eee600,yellow
#ff6347,255,99,71,#ff6347,orange
#746cc0,116,108,192,#746cc0,blue
#ffc87c,255,200,124,#ffc87c,orange
#fd0e35,253,14,53,#fd0e35,red
#808080,128,128,128,#808080,gray
#00755e,0,117,94,#00755e,green
#0073cf,0,115,207,#0073cf,blue
#417dc1,65,125,193,#417dc1,blue
#deaa88,222,170,136,#deaa88,beige
#b57281,181,114,129,#b57281,pink
#30d5c8,48,213,200,#30d5c8,blue
#00ffef,0,255,239,#00ffef,blue
#a0d6b4,160,214,180,#a0d6b4,green
#66424d,102,66,77,#66424d,purple
#8a496b,138,73,107,#8a496b,purple
#66023c,102,2,60,#66023c,purple
#0033aa,0,51,170,#0033aa,blue
#d9004c,217,0,76,#d9004c,red
#536895,83,104,149,#536895,blue
#ffb300,255,179,0,#ffb300,orange
#3cd070,60,208,112,#3cd070,green
#014421,1,68,33,#014421,green
#7b1113,123,17,19,#7b1113,red
#990000,153,0,0,#990000,red
#ffcc00,255,204,0,#ffcc00,yellow
#8878c3,136,120,195,#8878c3,purple
#ff6fff,255,111,255,#ff6fff,pink
#120a8f,18,10,143,#120a8f,blue
#4166f5,65,102,245,#4166f5,blue
#635147,99,81,71,#635147,brown
#5b92e5,91,146,229,#5b92e5,blue
#b78727,183,135,39,#b78727,brown
#ffff66,255,255,102,#ffff66,yellow
#ae2029,174,32,41,#ae2029,red
#e1ad21,225,173,33,#e1ad21,orange
#d3003f,211,0,63,#d3003f,red
#f3e5ab,243,229,171,#f3e5ab,yellow
#c5b358,197,179,88,#c5b358,yellow
#c80815,200,8,21,#c80815,red
#43b3ae,67,179,174,#43b3ae,blue
#e34234,227,66,52,#e34234,red
#a020f0,160,32,240,#a020f0,purple
#ee82ee,238,130,238,#ee82ee,pink
#324ab2,50,74,178,#324ab2,blue
#f75394,247,83,148,#f75394,pink
#40826d,64,130,109,#40826d,green
#922724,146,39,36,#922724,red
#9f1d35,159,29,53,#9f1d35,red
#da1d81,218,29,129,#da1d81,pink
#ffa089,255,160,137,#ffa089,orange
#9f00ff,159,0,255,#9f00ff,purple
#004242,0,66,66,#004242,black
#00ffff,0,255,255,#00ffff,blue
#645452,100,84,82,#645452,brown
#f5deb3,245,222,179,#f5deb3,yellow
#ffffff,255,255,255,#ffffff,white
#f5f5f5,245,245,245,#f5f5f5,white
#ff43a4,255,67,164,#ff43a4,pink
#fc6c85,252,108,133,#fc6c85,pink
#a2add0,162,173,208,#a2add0,blue
#722f37,114,47,55,#722f37,red
#c9a0dc,201,160,220,#c9a0dc,purple
#738678,115,134,120,#738678,gray
#0f4d92,15,77,146,#0f4d92,blue
#ffff00,255,255,0,#ffff00,yellow
#ffae42,255,174,66,#ffae42,orange
#9acd32,154,205,50,#9acd32,green
#0014a8,0,20,168,#0014a8,blue
#2c1608,44,22,8,#2c1608,brown
